mean,variance,range,mean_abs_diff,label
-48.8,4.5600000000000005,7,2.111111111111111,moving
-48.2,1.7600000000000002,4,1.6666666666666667,moving
-47.9,2.0900000000000007,5,1.4444444444444444,moving
-47.7,0.41,2,0.6666666666666666,moving
-47.8,0.5599999999999999,2,0.3333333333333333,moving
-47.4,3.6400000000000006,7,2.2222222222222223,moving
-50.1,5.6899999999999995,8,1.6666666666666667,moving
-47.4,1.6400000000000001,4,1.0,moving
-49.9,3.09,6,1.5555555555555556,moving
-49.8,2.5599999999999996,5,1.8888888888888888,moving
-49.3,0.8099999999999999,3,0.8888888888888888,moving
-48.6,0.64,2,1.1111111111111112,moving
-49.9,2.2900000000000005,4,1.2222222222222223,moving
-47.6,2.2400000000000007,5,1.1111111111111112,moving
-47.6,1.0399999999999998,3,1.4444444444444444,moving
-47.7,1.01,4,0.6666666666666666,moving
-48.2,2.16,6,1.7777777777777777,moving
-48.6,1.0399999999999998,3,1.2222222222222223,moving
-48.3,1.2099999999999997,4,1.1111111111111112,moving
-48.4,2.0400000000000005,5,1.4444444444444444,moving
-49.9,2.0900000000000003,5,1.2222222222222223,moving
-48.7,1.81,4,1.3333333333333333,moving
-50.7,2.01,5,1.4444444444444444,moving
-47.8,1.1599999999999997,3,1.2222222222222223,moving
-48.2,2.56,5,0.7777777777777778,moving
-47.9,0.29,2,0.5555555555555556,moving
-48.4,1.2399999999999998,3,1.1111111111111112,moving
-48.6,1.8400000000000005,4,1.1111111111111112,moving
-48.1,2.09,5,1.1111111111111112,moving
-48.9,3.689999999999999,6,1.6666666666666667,moving
-48.4,0.64,3,0.7777777777777778,moving
-48.5,2.85,6,1.2222222222222223,moving
-49.2,0.96,3,1.1111111111111112,moving
-48.7,1.6099999999999999,3,0.8888888888888888,moving
-49.9,1.69,5,1.3333333333333333,moving
-47.4,0.8400000000000001,3,0.8888888888888888,moving
-48.7,1.01,3,1.2222222222222223,moving
-48.1,1.4899999999999998,4,1.2222222222222223,moving
-49.1,2.0900000000000003,5,1.1111111111111112,moving
-50.6,2.0400000000000005,4,1.5555555555555556,empty
